"mic0_pos_x","mic0_pos_y","mic0_pos_z","mic1_pos_x","mic1_pos_y","mic1_pos_z","mic2_pos_x","mic2_pos_y","mic2_pos_z","mic3_pos_x","mic3_pos_y","mic3_pos_z","config_id","fs_hz","room_dim_x","room_dim_y","room_dim_z","rt60_target_s","is_anechoic","source_pos_x","source_pos_y","source_pos_z","array_center_x_config","array_center_y_config","array_center_z_config","array_center_x_actual","array_center_y_actual","array_center_z_actual","array_orientation_axis","actual_dist_src_to_array_center_m","actual_azimuth_src_to_array_center_deg","angle_deg","actual_elevation_src_to_array_center_deg","num_mics_configured","num_mics_processed","mic_separation_m","rir_file_basename","azimuth_deg","elevation_deg","snr_db","tdoa_method"
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.01_mics_4_az_0_el_0",48000,10.0,10.0,10.0,0.01,"",4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,0.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.01_mics_4_az_0_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.01_mics_4_az_45_el_0",48000,10.0,10.0,10.0,0.01,"",3.914213562373095,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,45.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.01_mics_4_az_45_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.01_mics_4_az_90_el_0",48000,10.0,10.0,10.0,0.01,"",2.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,90.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.01_mics_4_az_90_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.01_mics_4_az_135_el_0",48000,10.0,10.0,10.0,0.01,"",1.085786437626905,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,135.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.01_mics_4_az_135_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.01_mics_4_az_180_el_0",48000,10.0,10.0,10.0,0.01,"",0.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,180.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.01_mics_4_az_180_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.05_mics_4_az_0_el_0",48000,10.0,10.0,10.0,0.05,"",4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,0.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.05_mics_4_az_0_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.05_mics_4_az_45_el_0",48000,10.0,10.0,10.0,0.05,"",3.914213562373095,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,45.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.05_mics_4_az_45_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.05_mics_4_az_90_el_0",48000,10.0,10.0,10.0,0.05,"",2.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,90.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.05_mics_4_az_90_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.05_mics_4_az_135_el_0",48000,10.0,10.0,10.0,0.05,"",1.085786437626905,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,135.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.05_mics_4_az_135_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.05_mics_4_az_180_el_0",48000,10.0,10.0,10.0,0.05,"",0.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,180.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.05_mics_4_az_180_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.3_mics_4_az_0_el_0",48000,10.0,10.0,10.0,0.3,"",4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,0.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.3_mics_4_az_0_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.3_mics_4_az_45_el_0",48000,10.0,10.0,10.0,0.3,"",3.914213562373095,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,45.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.3_mics_4_az_45_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.3_mics_4_az_90_el_0",48000,10.0,10.0,10.0,0.3,"",2.5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,90.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.3_mics_4_az_90_el_0",180,"","",""
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,"room10x10x10_rt60_0.3_mics_4_az_135_el_0",48000,10.0,10.0,10.0,0.3,"",1.085786437626905,3.914213562373095,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"x",2.0,135.0,180,0.0,4,4,0.1,"rir_room10x10x10_rt60_0.3_mics_4_az_135_el_0",180,"","",""
